reference_group_id,document_id,role
RG-entry_year=2003,WARG0125,member
RG-entry_year=2003,WARG0126,member
RG-entry_year=2003,WARG0263,member
RG-entry_year=2003,WARG0264,member
RG-entry_year=2003,WARG0265,member
RG-entry_year=2003,WARG0456,member
RG-entry_year=2003,WARG0594,member
RG-entry_year=2003,WARG0595,member
RG-entry_year=2003,WARG0732,member
RG-entry_year=2003,WARG0733,member
RG-entry_year=2003,WARG0734,member
RG-entry_year=2003,WARG0925,member
RG-entry_year=2003,WARG1062,member
RG-entry_year=2003,WARG1063,member
RG-entry_year=2003,WARG1200,member
RG-entry_year=2003,WARG1201,member
RG-entry_year=2003,WARG1202,member
RG-entry_year=2003,WARG1393,member
RG-entry_year=2003,WARG1530,member
RG-entry_year=2003,WARG1531,member
RG-entry_year=2003,WARG1668,member
RG-entry_year=2003,WARG1669,member
RG-entry_year=2003,WARG1670,member
RG-entry_year=2003,WARG1861,member
RG-entry_year=2003,WARG1998,member
RG-entry_year=2003,WARG1999,member
RG-entry_year=2003,WARG2135,member
RG-entry_year=2003,WARG2136,member
RG-entry_year=2003,WARG2137,member
RG-entry_year=2003,WARG2329,member
RG-entry_year=2003,WARG2465,member
RG-entry_year=2003,WARG2466,member
RG-entry_year=2003,WARG2467,member
RG-entry_year=2003,WARG2603,member
RG-entry_year=2003,WARG2604,member
RG-entry_year=2003,WARG2605,member
RG-entry_year=2003,WARG2797,member
RG-entry_year=2003,WARG2933,member
RG-entry_year=2003,WARG2934,member
RG-entry_year=2003,WARG2935,member
RG-entry_year=2003,WARG3071,member
RG-entry_year=2003,WARG3072,member
RG-entry_year=2003,WARG3073,member
RG-entry_year=2003,WARG3265,member
RG-entry_year=2003,WARG3401,member
RG-entry_year=2003,WARG3402,member
RG-entry_year=2003,WARG3403,member
RG-entry_year=2003,WARG3539,member
RG-entry_year=2003,WARG3540,member
RG-entry_year=2003,WARG3541,member
RG-entry_year=2003,WARG3732,member
RG-entry_year=2003,WARG3733,member
RG-entry_year=2003,WARG3869,member
RG-entry_year=2003,WARG3870,member
RG-entry_year=2003,WARG3871,member
RG-entry_year=2003,WARG4007,member
RG-entry_year=2003,WARG4008,member
RG-entry_year=2003,WARG4009,member
RG-entry_year=2003,WARG4200,member
RG-entry_year=2003,WARG4201,member
RG-entry_year=2003,WARG4337,member
RG-entry_year=2003,WARG4338,member
RG-entry_year=2003,WARG4339,member
RG-entry_year=2003,WARG4475,member
RG-entry_year=2003,WARG4476,member
RG-entry_year=2003,WARG4477,member
RG-entry_year=2003,WARG4668,member
RG-entry_year=2003,WARG4669,member
RG-entry_year=2004,WARG0122,member
RG-entry_year=2004,WARG0123,member
RG-entry_year=2004,WARG0124,member
RG-entry_year=2004,WARG0152,member
RG-entry_year=2004,WARG0153,member
RG-entry_year=2004,WARG0154,member
RG-entry_year=2004,WARG0155,member
RG-entry_year=2004,WARG0156,member
RG-entry_year=2004,WARG0239,member
RG-entry_year=2004,WARG0240,member
RG-entry_year=2004,WARG0241,member
RG-entry_year=2004,WARG0242,member
RG-entry_year=2004,WARG0260,member
RG-entry_year=2004,WARG0261,member
RG-entry_year=2004,WARG0262,member
RG-entry_year=2004,WARG0359,member
RG-entry_year=2004,WARG0360,member
RG-entry_year=2004,WARG0361,member
RG-entry_year=2004,WARG0362,member
RG-entry_year=2004,WARG0363,member
RG-entry_year=2004,WARG0364,member
RG-entry_year=2004,WARG0365,member
RG-entry_year=2004,WARG0418,member
RG-entry_year=2004,WARG0419,member
RG-entry_year=2004,WARG0420,member
RG-entry_year=2004,WARG0421,member
RG-entry_year=2004,WARG0422,member
RG-entry_year=2004,WARG0423,member
RG-entry_year=2004,WARG0457,member
RG-entry_year=2004,WARG0458,member
RG-entry_year=2004,WARG0536,member
RG-entry_year=2004,WARG0591,member
