reference_group_id,document_id,role
RG-seccl-exam=TEM4,TASK1/03-130-01A,member
RG-seccl-exam=TEM4,TASK1/03-130-02B,member
RG-seccl-exam=TEM4,TASK1/03-130-03A,member
RG-seccl-exam=TEM4,TASK1/03-130-04B,member
RG-seccl-exam=TEM4,TASK1/03-130-05B,member
RG-seccl-exam=TEM4,TASK1/03-130-06A,member
RG-seccl-exam=TEM4,TASK1/03-130-07B,member
RG-seccl-exam=TEM4,TASK1/03-130-08B,member
RG-seccl-exam=TEM4,TASK1/03-130-09A,member
RG-seccl-exam=TEM4,TASK1/03-130-10B,member
RG-seccl-exam=TEM4,TASK1/03-130-11B,member
RG-seccl-exam=TEM4,TASK1/03-130-12A,member
RG-seccl-exam=TEM4,TASK1/03-130-13A,member
RG-seccl-exam=TEM4,TASK1/03-130-14A,member
RG-seccl-exam=TEM4,TASK1/03-130-15B,member
RG-seccl-exam=TEM4,TASK1/03-130-16A,member
RG-seccl-exam=TEM4,TASK1/03-130-17A,member
RG-seccl-exam=TEM4,TASK1/03-130-18A,member
RG-seccl-exam=TEM4,TASK1/03-130-19B,member
RG-seccl-exam=TEM4,TASK1/03-130-20B,member
RG-seccl-exam=TEM4,TASK1/03-130-21B,member
RG-seccl-exam=TEM4,TASK1/03-130-22B,member
RG-seccl-exam=TEM4,TASK1/03-130-23A,member
RG-seccl-exam=TEM4,TASK1/03-130-24B,member
RG-seccl-exam=TEM4,TASK1/03-130-25A,member
RG-seccl-exam=TEM4,TASK1/03-130-26B,member
RG-seccl-exam=TEM4,TASK1/03-130-27A,member
RG-seccl-exam=TEM4,TASK1/03-130-28A,member
RG-seccl-exam=TEM4,TASK1/03-130-29A,member
RG-seccl-exam=TEM4,TASK1/03-130-30A,member
RG-seccl-exam=TEM4,TASK1/03-131-01A,member
RG-seccl-exam=TEM4,TASK1/03-131-02A,member
RG-seccl-exam=TEM4,TASK1/03-131-03B,member
RG-seccl-exam=TEM4,TASK1/03-131-04B,member
RG-seccl-exam=TEM4,TASK1/03-131-06B,member
RG-seccl-exam=TEM4,TASK1/03-131-07B,member
RG-seccl-exam=TEM4,TASK1/03-131-08A,member
RG-seccl-exam=TEM4,TASK1/03-131-09A,member
RG-seccl-exam=TEM4,TASK1/03-131-10A,member
RG-seccl-exam=TEM4,TASK1/03-131-13B,member
RG-seccl-exam=TEM4,TASK1/03-131-14A,member
RG-seccl-exam=TEM4,TASK1/03-131-16B,member
RG-seccl-exam=TEM4,TASK1/03-131-18A,member
RG-seccl-exam=TEM4,TASK1/03-131-19B,member
RG-seccl-exam=TEM4,TASK1/03-131-20B,member
RG-seccl-exam=TEM4,TASK1/03-131-21A,member
RG-seccl-exam=TEM4,TASK1/03-131-22A,member
RG-seccl-exam=TEM4,TASK1/03-131-25B,member
RG-seccl-exam=TEM4,TASK1/03-131-26B,member
RG-seccl-exam=TEM4,TASK1/03-131-27B,member
RG-seccl-exam=TEM4,TASK1/03-131-28A,member
RG-seccl-exam=TEM4,TASK1/03-131-29B,member
RG-seccl-exam=TEM4,TASK1/03-131-30A,member
RG-seccl-exam=TEM4,TASK1/03-160-01A,member
RG-seccl-exam=TEM4,TASK1/03-160-02A,member
RG-seccl-exam=TEM4,TASK1/03-160-03A,member
RG-seccl-exam=TEM4,TASK1/03-160-04B,member
RG-seccl-exam=TEM4,TASK1/03-160-05B,member
RG-seccl-exam=TEM4,TASK1/03-160-06B,member
RG-seccl-exam=TEM4,TASK1/03-160-07A,member
RG-seccl-exam=TEM4,TASK1/03-160-09A,member
RG-seccl-exam=TEM4,TASK1/03-160-10B,member
RG-seccl-exam=TEM4,TASK1/03-160-11A,member
RG-seccl-exam=TEM4,TASK1/03-160-12A,member
RG-seccl-exam=TEM4,TASK1/03-160-13A,member
RG-seccl-exam=TEM4,TASK1/03-160-14B,member
RG-seccl-exam=TEM4,TASK1/03-160-15A,member
RG-seccl-exam=TEM4,TASK1/03-160-16B,member
RG-seccl-exam=TEM4,TASK1/03-160-17B,member
RG-seccl-exam=TEM4,TASK1/03-160-19A,member
RG-seccl-exam=TEM4,TASK1/03-160-20A,member
RG-seccl-exam=TEM4,TASK1/03-160-22A,member
RG-seccl-exam=TEM4,TASK1/03-160-23B,member
RG-seccl-exam=TEM4,TASK1/03-160-25B,member
RG-seccl-exam=TEM4,TASK1/03-160-26B,member
RG-seccl-exam=TEM4,TASK1/03-160-28A,member
RG-seccl-exam=TEM4,TASK1/03-160-29A,member
RG-seccl-exam=TEM4,TASK1/03-162-01A,member
RG-seccl-exam=TEM4,TASK1/03-162-02A,member
RG-seccl-exam=TEM4,TASK1/03-162-03A,member
RG-seccl-exam=TEM4,TASK1/03-162-04B,member
RG-seccl-exam=TEM4,TASK1/03-162-05B,member
RG-seccl-exam=TEM4,TASK1/03-162-06B,member
RG-seccl-exam=TEM4,TASK1/03-162-07A,member
RG-seccl-exam=TEM4,TASK1/03-162-08A,member
RG-seccl-exam=TEM4,TASK1/03-162-09A,member
RG-seccl-exam=TEM4,TASK1/03-162-10B,member
RG-seccl-exam=TEM4,TASK1/03-162-11B,member
RG-seccl-exam=TEM4,TASK1/03-162-12A,member
RG-seccl-exam=TEM4,TASK1/03-162-13B,member
RG-seccl-exam=TEM4,TASK1/03-162-14B,member
RG-seccl-exam=TEM4,TASK1/03-162-15B,member
RG-seccl-exam=TEM4,TASK1/03-162-16A,member
