prompt_id,timed_status,requested,resolved,outcome
ARG01,timed,RG-prompt_id=ARG01-timed_status=timed,RG-prompt_id=ARG01-timed_status=timed,exact
ARG01,untimed,RG-prompt_id=ARG01-timed_status=untimed,RG-prompt_id=ARG01-timed_status=untimed,exact
ARG02,timed,RG-prompt_id=ARG02-timed_status=timed,RG-prompt_id=ARG02-timed_status=timed,exact
ARG02,untimed,RG-prompt_id=ARG02-timed_status=untimed,RG-prompt_id=ARG02-timed_status=untimed,exact
ARG03,timed,RG-prompt_id=ARG03-timed_status=timed,RG-prompt_id=ARG03-timed_status=timed,exact
ARG03,untimed,RG-prompt_id=ARG03-timed_status=untimed,RG-prompt_id=ARG03-timed_status=untimed,exact
ARG04,timed,RG-prompt_id=ARG04-timed_status=timed,RG-prompt_id=ARG04,prompt_fallback
ARG04,untimed,RG-prompt_id=ARG04-timed_status=untimed,RG-prompt_id=ARG04-timed_status=untimed,exact
ARG05,timed,RG-prompt_id=ARG05-timed_status=timed,RG-prompt_id=ARG05-timed_status=timed,exact
ARG05,untimed,RG-prompt_id=ARG05-timed_status=untimed,RG-prompt_id=ARG05-timed_status=untimed,exact
ARG06,timed,RG-prompt_id=ARG06-timed_status=timed,RG-prompt_id=ARG06,prompt_fallback
ARG06,untimed,RG-prompt_id=ARG06-timed_status=untimed,RG-prompt_id=ARG06-timed_status=untimed,exact
ARG07,timed,RG-prompt_id=ARG07-timed_status=timed,RG-prompt_id=ARG07-timed_status=timed,exact
ARG07,untimed,RG-prompt_id=ARG07-timed_status=untimed,RG-prompt_id=ARG07-timed_status=untimed,exact
ARG08,timed,RG-prompt_id=ARG08-timed_status=timed,RG-prompt_id=ARG08-timed_status=timed,exact
ARG08,untimed,RG-prompt_id=ARG08-timed_status=untimed,RG-prompt_id=ARG08-timed_status=untimed,exact
ARG09,timed,RG-prompt_id=ARG09-timed_status=timed,RG-prompt_id=ARG09-timed_status=timed,exact
ARG09,untimed,RG-prompt_id=ARG09-timed_status=untimed,RG-prompt_id=ARG09,prompt_fallback
ARG10,timed,RG-prompt_id=ARG10-timed_status=timed,RG-prompt_id=ARG10-timed_status=timed,exact
ARG10,untimed,RG-prompt_id=ARG10-timed_status=untimed,RG-prompt_id=ARG10-timed_status=untimed,exact
ARG11,timed,RG-prompt_id=ARG11-timed_status=timed,RG-prompt_id=ARG11-timed_status=timed,exact
ARG11,untimed,RG-prompt_id=ARG11-timed_status=untimed,RG-prompt_id=ARG11-timed_status=untimed,exact
ARG12,timed,RG-prompt_id=ARG12-timed_status=timed,RG-prompt_id=ARG12,prompt_fallback
ARG12,untimed,RG-prompt_id=ARG12-timed_status=untimed,RG-prompt_id=ARG12-timed_status=untimed,exact
ARG13,timed,RG-prompt_id=ARG13-timed_status=timed,RG-genre=argumentative,genre_fallback
ARG13,untimed,RG-prompt_id=ARG13-timed_status=untimed,RG-genre=argumentative,genre_fallback
ARG14,timed,RG-prompt_id=ARG14-timed_status=timed,RG-prompt_id=ARG14,prompt_fallback
ARG14,untimed,RG-prompt_id=ARG14-timed_status=untimed,RG-prompt_id=ARG14-timed_status=untimed,exact
ARG15,timed,RG-prompt_id=ARG15-timed_status=timed,RG-prompt_id=ARG15,prompt_fallback
ARG15,untimed,RG-prompt_id=ARG15-timed_status=untimed,RG-prompt_id=ARG15-timed_status=untimed,exact
ARG16,timed,RG-prompt_id=ARG16-timed_status=timed,RG-prompt_id=ARG16,prompt_fallback
