dimension,value,n,pct,physical_tokens
genre,argumentative,4680,94.55,1207778
genre,expository,270,5.45,40248
prompt_id,ARG01,133,2.69,31382
prompt_id,ARG02,426,8.61,90202
prompt_id,ARG03,87,1.76,22271
prompt_id,ARG04,239,4.83,75515
prompt_id,ARG05,192,3.88,48142
prompt_id,ARG06,127,2.57,28701
prompt_id,ARG07,177,3.58,43262
prompt_id,ARG08,214,4.32,61257
prompt_id,ARG09,154,3.11,30965
prompt_id,ARG10,256,5.17,64529
prompt_id,ARG11,156,3.15,39337
prompt_id,ARG12,108,2.18,24568
prompt_id,ARG13,14,0.28,3374
prompt_id,ARG14,136,2.75,42639
prompt_id,ARG15,126,2.55,31209
prompt_id,ARG16,66,1.33,18349
prompt_id,ARG17,656,13.25,147981
prompt_id,ARG18,43,0.87,12100
prompt_id,ARG19,18,0.36,5033
prompt_id,ARG20,32,0.65,7793
prompt_id,ARG21,157,3.17,38950
prompt_id,ARG22,165,3.33,48840
prompt_id,ARG23,391,7.9,89720
prompt_id,ARG24,89,1.8,22243
prompt_id,ARG25,99,2.0,32184
prompt_id,ARG26,419,8.46,147232
prompt_id,EXP01,270,5.45,40248
major_type,english_major,4359,88.06,1131467
major_type,non_english_major,591,11.94,116559
entry_year,2003,68,1.37,21519
entry_year,2004,307,6.2,89240
entry_year,2005,1672,33.78,445869
entry_year,2006,2450,49.49,602242
entry_year,2007,453,9.15,89156
grade,1,1549,31.29,371059
grade,2,2172,43.88,567174
grade,3,1108,22.38,267820
grade,4,121,2.44,41973
timed_status,timed,2499,50.48,604429
timed_status,untimed,2451,49.52,643597
total,all,4950,100.0,1248026
