document_id,source_relative_path,derived_relative_path,source_sha256,corpus,domain,genre,genre_from_filename,prompt_id,major_type,entry_year,grade,timed_status,header_raw,metadata_status,metadata_source,raw_usable,lemma_usable,tagged_usable
WARG0001,WECCL20/RAW/WARG0001.txt,WECCL20/RAW/WARG0001.txt,abf31a95b1d5228476b5e1047a3d0adc19742efb9cfae18bad5e56b1cfeff20a,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0002,WECCL20/RAW/WARG0002.txt,WECCL20/RAW/WARG0002.txt,400b76ca151f67a2f712fa3b4d48978b37d16ec62d7b33c2039a667228cb8295,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0003,WECCL20/RAW/WARG0003.txt,WECCL20/RAW/WARG0003.txt,a53789fb4da7e7d8e5a8f23075a057de1ffd9629f4f199045a14859f2f017f52,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0004,WECCL20/RAW/WARG0004.txt,WECCL20/RAW/WARG0004.txt,76d2fdd847a812da8e0aca0656340284eaf3a237dcff259366ea2a0109a58baf,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0005,WECCL20/RAW/WARG0005.txt,WECCL20/RAW/WARG0005.txt,243165fc4fcb6ae97a091666be295da87d7dad4e4de665c78d264a96956f0434,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0006,WECCL20/RAW/WARG0006.txt,WECCL20/RAW/WARG0006.txt,45963c0fbbf0a2ffc801400d4bb1620712c2509010904e535041112e46778b23,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0007,WECCL20/RAW/WARG0007.txt,WECCL20/RAW/WARG0007.txt,d238c40c188658a743949627a73f3816a529ff14bb0d3a97d3af0694e0018248,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0008,WECCL20/RAW/WARG0008.txt,WECCL20/RAW/WARG0008.txt,c30c01cf5765077ca8e0f877db06dbbeb2479d262b38d4d8256e789ec30c8fbf,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0009,WECCL20/RAW/WARG0009.txt,WECCL20/RAW/WARG0009.txt,0c2b259b066be22a0b94c5eb7a2fe5d1d83408f0d23d8e1a197d214a9058a762,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0010,WECCL20/RAW/WARG0010.txt,WECCL20/RAW/WARG0010.txt,d1710abdac4ba671d037fb1677b35a8b6396c7ad7e5815a49a989834b1af02ff,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0011,WECCL20/RAW/WARG0011.txt,WECCL20/RAW/WARG0011.txt,8281a83cb1db91858a22baa25b0bce47d09b9a9931ac1641d65fdf538e347f95,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0012,WECCL20/RAW/WARG0012.txt,WECCL20/RAW/WARG0012.txt,893cb82a2684af13b3f8049d55ee8230d27261f722d1d5e687781bc646ae27ad,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0013,WECCL20/RAW/WARG0013.txt,WECCL20/RAW/WARG0013.txt,fb4ebc8991c211e8680d7387bb5bae5ce194a45b125494762e513a962fbe201c,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0014,WECCL20/RAW/WARG0014.txt,WECCL20/RAW/WARG0014.txt,31810c13e1ddadc9fc652ceb397315d3233845b0d08757d4abbeef9f229f9a62,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0015,WECCL20/RAW/WARG0015.txt,WECCL20/RAW/WARG0015.txt,f1c3ac3c71cb2b93e1897b64acd8c329443b6a1f6daab9e0db14c33be9405add,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG0016,WECCL20/RAW/WARG0016.txt,WECCL20/RAW/WARG0016.txt,e237c9a163b50d57c913c2f17a1639a382c3bbc8eff72c4c2b5ce9f9ff90144a,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
