dimension,value,doc_n,physical_n,n_status,doc_tokens,physical_tokens,token_status,note
total,all,4950,4950,MATCH,1248476,1248026,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
genre,argumentative,4680,4680,MATCH,1207968,1207778,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
genre,expository,270,270,MATCH,40508,40248,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
major_type,english_major,4359,4359,MATCH,1131901,1131467,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
major_type,non_english_major,591,591,MATCH,116575,116559,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
entry_year,2003,68,68,MATCH,21517,21519,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
entry_year,2004,307,307,MATCH,89236,89240,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
entry_year,2005,1672,1672,MATCH,445769,445869,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
entry_year,2006,2450,2450,MATCH,602803,602242,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
entry_year,2007,453,453,MATCH,89151,89156,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
grade,1,1549,1549,MATCH,371431,371059,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
grade,2,2172,2172,MATCH,567046,567174,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
grade,3,1108,1108,MATCH,268032,267820,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
grade,4,121,121,MATCH,41967,41973,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
timed_status,timed,2499,2499,MATCH,604636,604429,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
timed_status,untimed,2451,2451,MATCH,643840,643597,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG01,133,133,MATCH,31382,31382,MATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG02,426,426,MATCH,90195,90202,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG03,87,87,MATCH,22265,22271,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG04,239,239,MATCH,75492,75515,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG05,192,192,MATCH,48137,48142,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG06,127,127,MATCH,28695,28701,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG07,177,177,MATCH,43238,43262,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG08,214,214,MATCH,61241,61257,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG09,154,154,MATCH,30959,30965,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG10,256,256,MATCH,64483,64529,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG11,156,156,MATCH,39324,39337,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG12,108,108,MATCH,24572,24568,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG13,14,14,MATCH,3372,3374,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG14,136,136,MATCH,42628,42639,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
prompt_id,ARG15,126,126,MATCH,31211,31209,MISMATCH,"token counts use different counters (manual: WordSmith 5.0; physical: whitespace split, header excluded)"
