scope,kind,members,n,detail
weccl_raw,exact_duplicate_text,"WARG2725,WARG4127",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG4215,WARG4605",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1320,WARG4597",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0956,WARG1814",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0938,WARG1328",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1418,WARG1808",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2825,WARG3683",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3763,WARG4621",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2258,WARG3660",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2726,WARG4128",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2731,WARG2809",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3295,WARG4153",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0384,WARG3662",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0485,WARG1343",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0474,WARG0864",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0475,WARG0865",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0852,WARG4129",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3199,WARG3277",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1411,WARG1801",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0011,WARG0401",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2257,WARG3659",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3667,WARG3745",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2358,WARG3216",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1321,WARG2723",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2818,WARG3208",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3291,WARG4149",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1408,WARG1798",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2811,WARG3201",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG4218,WARG4608",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0484,WARG1342",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG4225,WARG4615",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1422,WARG2280",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0004,WARG0394",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0019,WARG0878",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0015,WARG0874",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2344,WARG2734",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0953,WARG1811",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1413,WARG1803",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3761,WARG4619",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0945,WARG1335",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0406,WARG4228",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2263,WARG2341",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2348,WARG2738",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3290,WARG3680",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG4219,WARG4609",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2822,WARG3212",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2343,WARG2733",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3758,WARG4148",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0404,WARG4226",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG4221,WARG4611",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1412,WARG1802",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2817,WARG3207",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0885,WARG3693",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1880,WARG2270",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2816,WARG3206",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3293,WARG4151",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1876,WARG2266",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0014,WARG0873",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2827,WARG3685",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2826,WARG3684",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2255,WARG4598",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2821,WARG3211",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0407,WARG4229",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0013,WARG0403",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1415,WARG1805",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0383,WARG3661",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3283,WARG3673",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG4216,WARG4606",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3762,WARG4620",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2820,WARG3210",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1884,WARG2274",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3294,WARG4152",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3194,WARG4596",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3284,WARG3674",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1888,WARG2746",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0017,WARG0876",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1421,WARG2279",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0480,WARG0870",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1322,WARG2724",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3755,WARG4145",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3749,WARG4139",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0854,WARG2256",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3286,WARG3676",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0941,WARG1331",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1416,WARG1806",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3292,WARG4150",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1409,WARG1799",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0949,WARG1339",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2352,WARG2742",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1890,WARG2748",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2346,WARG2736",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG4135,WARG4213",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3280,WARG3670",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3193,WARG4595",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1887,WARG2745",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2819,WARG3209",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1423,WARG2281",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0018,WARG0877",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2354,WARG2744",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1790,WARG3192",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0665,WARG1127",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3278,WARG3668",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0006,WARG0396",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0950,WARG1340",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0378,WARG4122",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3287,WARG3677",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG4217,WARG4607",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2347,WARG2737",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2814,WARG3204",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0385,WARG1788",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0479,WARG0869",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0473,WARG0863",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3279,WARG3669",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0008,WARG0398",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG4214,WARG4604",2,identical body text after whitespace/lowercase normalization
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0378.txt,WECCL20/LEMMA/WARG4122.txt",2,identical sha256 00b426e57c295290...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0405.txt,WECCL20/LEMMA/WARG4227.txt",2,identical sha256 014a6929cfb56803...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0014.txt,WECCL20/LEMMA/WARG0873.txt",2,identical sha256 02b4c7d829f75beb...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0006.txt,WECCL20/LEMMA/WARG0396.txt",2,identical sha256 02ca36384b01b1d9...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2817.txt,WECCL20/LEMMA/WARG3207.txt",2,identical sha256 065faa8b95300d09...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG4217.txt,WECCL20/LEMMA/WARG4607.txt",2,identical sha256 08594311df1e4f94...
