dimension,populated_n,total_n,coverage_pct,distinct_values,values
genre,4950,4950,100.0,2,"{""argumentative"": 4680, ""expository"": 270}"
prompt_id,4950,4950,100.0,27,"{""ARG01"": 133, ""ARG02"": 426, ""ARG03"": 87, ""ARG04"": 239, ""ARG05"": 192, ""ARG06"": 127, ""ARG07"": 177, ""ARG08"": 214, ""ARG09"": 154, ""ARG10"": 256, ""ARG11"": 156, ""ARG12"": 108, ""ARG13"": 14, ""ARG14"": 136, ""ARG15"": 126, ""ARG16"": 66, ""ARG17"": 656, ""ARG18"": 43, ""ARG19"": 18, ""ARG20"": 32, ""ARG21"": 157, ""ARG22"": 165, ""ARG23"": 391, ""ARG24"": 89, ""ARG25"": 99, ""ARG26"": 419, ""EXP01"": 270}"
major_type,4950,4950,100.0,2,"{""english_major"": 4359, ""non_english_major"": 591}"
entry_year,4950,4950,100.0,5,"{""2003"": 68, ""2004"": 307, ""2005"": 1672, ""2006"": 2450, ""2007"": 453}"
grade,4950,4950,100.0,4,"{""1"": 1549, ""2"": 2172, ""3"": 1108, ""4"": 121}"
timed_status,4950,4950,100.0,2,"{""timed"": 2499, ""untimed"": 2451}"
seccl_exam,2852,2852,100.0,1,"{""TEM4"": 2852}"
seccl_task_folder,2852,2852,100.0,4,"{""TASK1"": 713, ""TASK123"": 713, ""TASK2"": 713, ""TASK3"": 713}"
seccl_year_folder,2852,2852,100.0,4,"{""2003"": 644, ""2004"": 732, ""2005"": 744, ""2006"": 732}"
seccl_metadata_status,2852,2852,100.0,1,"{""parsed"": 2852}"
