relative_path,issue_type,severity,detail
WECCL20/LEMMA/WARG2081.txt,all_nul_bytes,high,2150 NUL bytes
WECCL20/RAW/WARG2081.txt,all_nul_bytes,high,2157 NUL bytes
WECCL20/RAW/WARG2081.txt,extremely_short_text,candidate,1 tokens
WECCL20 (RAW vs LEMMA),variant_identical_bytes,candidate,1 documents where LEMMA byte-identical to RAW: WARG3437
WECCL20/LEMMA/WARG0099.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG0203.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG0439.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG0441.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG0476.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG0545.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG0739.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG0946.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG1096.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG1281.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG1391.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG1496.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG1516.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG1946.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG2008.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG2039.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
WECCL20/LEMMA/WARG2247.txt,non_ascii_learner_content,info,encoding=gbk; contains non-ASCII chars (Chinese/fullwidth/punctuation) typed by learner
